hour,direction,ru,bandwidth,service,delay,slice
0,DL,RU_71,871.0482,CG,80.0,eMBB
0,DL,RU_1,141.268,CG,80.0,eMBB
0,DL,RU_1,308.6648,CG,80.0,eMBB
0,DL,RU_90,649.6766,CG,80.0,eMBB
0,DL,RU_91,107.0209,CG,80.0,eMBB
0,DL,RU_91,172.2515,CG,80.0,eMBB
0,DL,RU_91,180.7876,CG,80.0,eMBB
0,DL,RU_21,26.5743,CG,80.0,eMBB
0,DL,RU_25,556.7931,CG,80.0,eMBB
0,DL,RU_8,949.1483,VS,100.0,eMBB
0,DL,RU_8,1827.8315,VS,100.0,eMBB
0,DL,RU_50,66.6983,VS,100.0,eMBB
0,DL,RU_50,139.8605,VS,100.0,eMBB
0,DL,RU_63,316.6007,VS,100.0,eMBB
0,DL,RU_63,523.5059,VS,100.0,eMBB
0,DL,RU_63,584.1832,VS,100.0,eMBB
0,UL,RU_43,822.6506,MIOT,10.0,mMTC
0,UL,RU_28,751.8972,MIOT,10.0,mMTC
0,UL,RU_3,473.5391,MIOT,10.0,mMTC
0,UL,RU_3,798.0378,MIOT,10.0,mMTC
0,UL,RU_52,93.1738,MIOT,10.0,mMTC
0,UL,RU_52,173.4255,MIOT,10.0,mMTC
0,UL,RU_44,45.541,MIOT,10.0,mMTC
0,UL,RU_44,74.482,MIOT,10.0,mMTC
0,UL,RU_24,881.478,MIOT,10.0,mMTC
0,UL,RU_24,1588.0835,MIOT,10.0,mMTC
0,UL,RU_39,906.639,MIOT,10.0,mMTC
0,UL,RU_39,1308.0295,MIOT,10.0,mMTC
0,UL,RU_88,565.6744,MIOT,10.0,mMTC
0,UL,RU_88,1174.8279,MIOT,10.0,mMTC
0,UL,RU_69,455.4793,MIOT,10.0,mMTC
0,UL,RU_18,642.7597,MIOT,10.0,mMTC
0,UL,RU_18,1051.2128,MIOT,10.0,mMTC
0,UL,RU_18,1281.2219,MIOT,10.0,mMTC
0,UL,RU_18,677.2993,MIOT,10.0,mMTC
0,UL,RU_18,1032.8112,MIOT,10.0,mMTC
0,UL,RU_18,1305.4352,MIOT,10.0,mMTC
0,DL,RU_52,288.0,VS,100.0,eMBB
0,DL,RU_52,684.287,VS,100.0,eMBB
0,UL,RU_36,701.373,MIOT,10.0,mMTC
0,UL,RU_36,1297.0744,MIOT,10.0,mMTC
0,DL,RU_23,220.0,VS,100.0,eMBB
0,DL,RU_23,430.0148,VS,100.0,eMBB
0,DL,RU_23,452.5137,VS,100.0,eMBB
0,DL,RU_23,997.4608,VS,100.0,eMBB
0,DL,RU_23,2255.4367,VS,100.0,eMBB
0,DL,RU_6,548.2866,VS,100.0,eMBB
0,DL,RU_6,996.5555,VS,100.0,eMBB
0,UL,RU_6,1010.7466,MIOT,10.0,mMTC
0,DL,RU_7,997.1367,VS,100.0,eMBB
0,DL,RU_7,1692.2269,VS,100.0,eMBB
0,DL,RU_1,941.5266,VS,100.0,eMBB
0,DL,RU_82,863.4948,VS,100.0,eMBB
0,DL,RU_82,1456.4742,AR,20.0,eMBB
0,DL,RU_95,160.0,CG,80.0,eMBB
0,DL,RU_58,176.0,CG,80.0,eMBB
0,DL,RU_5,98.4439,CG,80.0,eMBB
0,DL,RU_5,206.5402,CG,80.0,eMBB
0,DL,RU_84,524.5863,CG,80.0,eMBB
0,DL,RU_61,215.3795,CG,80.0,eMBB
0,DL,RU_61,368.2106,CG,80.0,eMBB
0,DL,RU_61,550.9023,CG,80.0,eMBB
0,DL,RU_75,387.4293,CG,80.0,eMBB
0,DL,RU_75,663.1686,CG,80.0,eMBB
0,DL,RU_83,563.9531,CG,80.0,eMBB
0,DL,RU_83,1297.9467,CG,80.0,eMBB
0,DL,RU_83,991.6417,CG,80.0,eMBB
0,DL,RU_35,275.4645,CG,80.0,eMBB
0,DL,RU_35,651.5009,CG,80.0,eMBB
0,DL,RU_84,946.0264,VS,100.0,eMBB
0,DL,RU_84,1782.5701,VS,100.0,eMBB
0,DL,RU_52,220.0,VS,100.0,eMBB
0,DL,RU_52,446.5303,VS,100.0,eMBB
0,DL,RU_99,997.0267,VS,100.0,eMBB
0,DL,RU_99,1925.6808,VS,100.0,eMBB
0,DL,RU_62,336.0,VS,100.0,eMBB
0,DL,RU_62,594.9058,VS,100.0,eMBB
0,UL,RU_96,816.617,I4.0,15.0,uRLLC
0,DL,RU_27,816.617,I4.0,15.0,uRLLC
0,UL,RU_96,1134.0604,I4.0,15.0,uRLLC
0,DL,RU_27,1134.0604,I4.0,15.0,uRLLC
0,UL,RU_96,1033.8901,I4.0,15.0,uRLLC
0,DL,RU_27,1033.8901,I4.0,15.0,uRLLC
0,DL,RU_46,246.7249,CG,80.0,eMBB
0,DL,RU_46,433.6757,CG,80.0,eMBB
0,DL,RU_27,164.0,CG,80.0,eMBB
0,UL,RU_99,816.617,I4.0,15.0,uRLLC
0,DL,RU_18,816.617,I4.0,15.0,uRLLC
0,UL,RU_89,405.52,I4.0,15.0,uRLLC
0,DL,RU_12,405.52,I4.0,15.0,uRLLC
0,UL,RU_89,384.4898,I4.0,15.0,uRLLC
0,DL,RU_12,384.4898,I4.0,15.0,uRLLC
0,UL,RU_89,405.52,I4.0,15.0,uRLLC
0,DL,RU_62,405.52,I4.0,15.0,uRLLC
0,UL,RU_89,399.1581,I4.0,15.0,uRLLC
0,DL,RU_62,399.1581,I4.0,15.0,uRLLC
0,UL,RU_89,369.7515,I4.0,15.0,uRLLC
0,DL,RU_62,369.7515,I4.0,15.0,uRLLC
0,UL,RU_73,816.617,I4.0,15.0,uRLLC
