hour,direction,ru,bandwidth,service,delay,slice,duration
0,DL,RU_61,381.23809402457414,CG,80.0,eMBB,1681
0,DL,RU_96,61.82980811700609,CG,80.0,eMBB,755
0,DL,RU_47,135.09560096040195,CG,80.0,eMBB,959
0,DL,RU_76,284.3487521314729,CG,80.0,eMBB,910
0,DL,RU_92,46.84062711661025,CG,80.0,eMBB,1068
0,DL,RU_58,75.39058522005318,CG,80.0,eMBB,648
0,DL,RU_2,79.1266431034208,CG,80.0,eMBB,1432
0,DL,RU_81,11.63096999917713,CG,80.0,eMBB,991
0,DL,RU_66,243.6957452067912,CG,80.0,eMBB,1221
0,DL,RU_4,193.99217916788584,VS,100.0,eMBB,1854
0,DL,RU_87,373.5823114646105,VS,100.0,eMBB,1797
0,DL,RU_65,13.632167453487932,VS,100.0,eMBB,2561
0,DL,RU_46,28.585462539953028,VS,100.0,eMBB,1829
0,DL,RU_30,64.70860214265576,VS,100.0,eMBB,2272
0,DL,RU_13,106.99703128398937,VS,100.0,eMBB,2290
0,DL,RU_73,119.39859345612156,VS,100.0,eMBB,2324
0,UL,RU_54,591.6073144502016,MIOT,10.0,mMTC,2
0,UL,RU_62,540.725167202973,MIOT,10.0,mMTC,1
0,UL,RU_8,340.54457048735566,MIOT,10.0,mMTC,2
0,UL,RU_34,573.9070751151789,MIOT,10.0,mMTC,2
0,UL,RU_35,67.0057270913316,MIOT,10.0,mMTC,1
0,UL,RU_74,124.7185552556376,MIOT,10.0,mMTC,1
0,UL,RU_80,32.75070693120096,MIOT,10.0,mMTC,1
0,UL,RU_34,53.563561486346586,MIOT,10.0,mMTC,1
0,UL,RU_20,633.912905827741,MIOT,10.0,mMTC,1
0,UL,RU_2,1142.066649629474,MIOT,10.0,mMTC,1
0,UL,RU_86,652.0073819502669,MIOT,10.0,mMTC,1
0,UL,RU_48,940.6664502726187,MIOT,10.0,mMTC,1
0,UL,RU_32,406.80346265745027,MIOT,10.0,mMTC,2
0,UL,RU_40,844.8748215344034,MIOT,10.0,mMTC,2
0,UL,RU_56,327.556906249941,MIOT,10.0,mMTC,1
0,UL,RU_53,462.23918143841036,MIOT,10.0,mMTC,1
0,UL,RU_12,755.9773025433602,MIOT,10.0,mMTC,2
0,UL,RU_27,921.3878254921161,MIOT,10.0,mMTC,1
0,UL,RU_88,487.0782564943141,MIOT,10.0,mMTC,1
0,UL,RU_60,742.7438336106362,MIOT,10.0,mMTC,2
0,UL,RU_80,938.8007653076064,MIOT,10.0,mMTC,2
0,DL,RU_96,58.86303288996158,VS,100.0,eMBB,2386
0,DL,RU_98,139.85836176101785,VS,100.0,eMBB,1630
0,UL,RU_28,504.39080328620827,MIOT,10.0,mMTC,1
0,UL,RU_47,932.7881149373823,MIOT,10.0,mMTC,1
0,DL,RU_65,44.964816790942876,VS,100.0,eMBB,961
0,DL,RU_53,87.88880317906337,VS,100.0,eMBB,1636
0,DL,RU_46,92.48725279950766,VS,100.0,eMBB,2434
0,DL,RU_69,203.86655512794232,VS,100.0,eMBB,2044
0,DL,RU_79,460.97862726849456,VS,100.0,eMBB,2154
0,DL,RU_79,112.06184780876809,VS,100.0,eMBB,1947
0,DL,RU_93,203.6815249068476,VS,100.0,eMBB,1350
0,UL,RU_64,726.8761265301114,MIOT,10.0,mMTC,2
0,DL,RU_37,203.80031377738806,VS,100.0,eMBB,2665
0,DL,RU_28,345.8666933054782,VS,100.0,eMBB,1382
0,DL,RU_2,192.43441396726982,VS,100.0,eMBB,2417
0,DL,RU_38,176.48584309969027,VS,100.0,eMBB,2533
0,DL,RU_95,3159.602610919143,AR,20.0,eMBB,361
0,DL,RU_11,70.02838079905551,CG,80.0,eMBB,947
0,DL,RU_77,77.03121887896106,CG,80.0,eMBB,1322
0,DL,RU_29,43.08666822840088,CG,80.0,eMBB,878
0,DL,RU_44,90.39797359945678,CG,80.0,eMBB,921
0,DL,RU_68,229.59955736479736,CG,80.0,eMBB,1127
0,DL,RU_32,94.26673526443861,CG,80.0,eMBB,1463
0,DL,RU_96,161.15745069405443,CG,80.0,eMBB,849
0,DL,RU_62,241.11747529672198,CG,80.0,eMBB,649
0,DL,RU_81,169.569040956947,CG,80.0,eMBB,1057
0,DL,RU_36,290.25389534235325,CG,80.0,eMBB,1146
0,DL,RU_19,246.82951524754893,CG,80.0,eMBB,420
0,DL,RU_77,568.0819110279841,CG,80.0,eMBB,1043
0,DL,RU_75,434.0191411488923,CG,80.0,eMBB,1211
0,DL,RU_0,120.56458064138391,CG,80.0,eMBB,530
0,DL,RU_23,285.14720697579617,CG,80.0,eMBB,1063
0,DL,RU_54,193.35410797906928,VS,100.0,eMBB,2468
0,DL,RU_64,364.33153619778506,VS,100.0,eMBB,2674
0,DL,RU_54,44.964816790942876,VS,100.0,eMBB,1650
0,DL,RU_35,91.26433241411254,VS,100.0,eMBB,2484
0,DL,RU_53,203.77783136899257,VS,100.0,eMBB,2575
0,DL,RU_15,393.58129259016505,VS,100.0,eMBB,1521
0,DL,RU_63,68.67353837162185,VS,100.0,eMBB,1860
0,DL,RU_46,121.59013774940593,VS,100.0,eMBB,2122
0,UL,RU_69,501.0188206822274,I4.0,15.0,uRLLC,4
0,DL,RU_95,501.0188206822274,I4.0,15.0,uRLLC,6
0,UL,RU_71,695.7797892897345,I4.0,15.0,uRLLC,6
0,DL,RU_59,695.7797892897345,I4.0,15.0,uRLLC,4
0,UL,RU_81,634.3223305625895,I4.0,15.0,uRLLC,8
0,DL,RU_50,634.3223305625895,I4.0,15.0,uRLLC,7
0,DL,RU_18,107.98590781130557,CG,80.0,eMBB,1164
0,DL,RU_2,189.81004414310598,CG,80.0,eMBB,648
