hour,direction,ru,bandwidth,service,delay,slice,duration
0,DL,RU_19,266.059036824436,CG,80.0,eMBB,691
0,DL,RU_61,43.14988311107747,CG,80.0,eMBB,1477
0,DL,RU_52,94.28072911419505,CG,80.0,eMBB,669
0,DL,RU_15,198.4417514936308,CG,80.0,eMBB,1212
0,DL,RU_64,32.68921005070016,CG,80.0,eMBB,775
0,DL,RU_94,52.61369942738455,CG,80.0,eMBB,642
0,DL,RU_1,55.221025341423605,CG,80.0,eMBB,1313
0,DL,RU_8,8.117039518919402,CG,80.0,eMBB,726
0,DL,RU_79,170.07076749196187,CG,80.0,eMBB,979
0,DL,RU_1,463.75795821196635,VS,100.0,eMBB,1547
0,DL,RU_82,893.0863642652215,VS,100.0,eMBB,2129
0,DL,RU_8,32.589077412043196,VS,100.0,eMBB,2407
0,DL,RU_91,68.3364442779961,VS,100.0,eMBB,1966
0,DL,RU_50,154.6924692384523,VS,100.0,eMBB,1723
0,DL,RU_65,255.78724346439628,VS,100.0,eMBB,2356
0,DL,RU_20,285.43443427516314,VS,100.0,eMBB,1513
0,UL,RU_78,580.8663575864571,MIOT,10.0,mMTC,1
0,UL,RU_24,530.908003766673,MIOT,10.0,mMTC,3
0,UL,RU_84,334.36179611583464,MIOT,10.0,mMTC,1
0,UL,RU_45,563.4874758522142,MIOT,10.0,mMTC,1
0,UL,RU_25,65.78920118515568,MIOT,10.0,mMTC,2
0,UL,RU_96,122.45422114517403,MIOT,10.0,mMTC,2
0,UL,RU_97,32.15609979600676,MIOT,10.0,mMTC,1
0,UL,RU_44,52.591085505504395,MIOT,10.0,mMTC,2
0,UL,RU_86,622.4038676354153,MIOT,10.0,mMTC,2
0,UL,RU_92,1121.3318001447421,MIOT,10.0,mMTC,0
0,UL,RU_97,640.169828570997,MIOT,10.0,mMTC,2
0,UL,RU_25,923.5881324108129,MIOT,10.0,mMTC,1
0,UL,RU_38,399.41772157937345,MIOT,10.0,mMTC,1
0,UL,RU_91,829.5356534887915,MIOT,10.0,mMTC,1
0,UL,RU_61,321.60993008092277,MIOT,10.0,mMTC,2
0,UL,RU_24,453.84697433195066,MIOT,10.0,mMTC,1
0,UL,RU_52,742.2521179517291,MIOT,10.0,mMTC,1
0,UL,RU_60,904.6595216887946,MIOT,10.0,mMTC,1
0,UL,RU_26,478.2350822899261,MIOT,10.0,mMTC,2
0,UL,RU_43,729.2589099412288,MIOT,10.0,mMTC,2
0,UL,RU_36,921.7563199846302,MIOT,10.0,mMTC,2
0,DL,RU_95,140.718043708287,VS,100.0,eMBB,3181
0,DL,RU_68,334.3455832465715,VS,100.0,eMBB,2422
0,UL,RU_65,495.2333102528415,MIOT,10.0,mMTC,1
0,UL,RU_84,915.8528325958058,MIOT,10.0,mMTC,2
0,DL,RU_95,107.49295005494146,VS,100.0,eMBB,2727
0,DL,RU_50,210.1070882694802,VS,100.0,eMBB,2241
0,DL,RU_76,221.10014796943983,VS,100.0,eMBB,2351
0,DL,RU_24,487.3636543461907,VS,100.0,eMBB,1105
0,DL,RU_67,1102.0161115690091,VS,100.0,eMBB,2105
0,DL,RU_11,267.89520049815303,VS,100.0,eMBB,1512
0,DL,RU_1,486.92132085671466,VS,100.0,eMBB,2077
0,UL,RU_18,713.679289828386,MIOT,10.0,mMTC,2
0,DL,RU_11,487.2052976865871,VS,100.0,eMBB,2275
0,DL,RU_12,826.8293711060383,VS,100.0,eMBB,1973
0,DL,RU_82,460.0339626781766,VS,100.0,eMBB,2660
0,DL,RU_58,421.9072882231894,VS,100.0,eMBB,1956
0,DL,RU_12,2725.728165629572,AR,20.0,eMBB,190
0,DL,RU_12,2725.728165629572,AR,20.0,eMBB,190
0,DL,RU_14,48.87151582646031,CG,80.0,eMBB,1000
0,DL,RU_23,53.758667409106344,CG,80.0,eMBB,898
0,DL,RU_15,30.069391355427978,CG,80.0,eMBB,1543
0,DL,RU_57,63.08707908187674,CG,80.0,eMBB,1573
0,DL,RU_81,160.23329789246412,CG,80.0,eMBB,511
0,DL,RU_22,65.78701651840693,CG,80.0,eMBB,902
0,DL,RU_43,112.4688135335653,CG,80.0,eMBB,879
0,DL,RU_66,168.27144045802115,CG,80.0,eMBB,982
0,DL,RU_69,118.33910729115276,CG,80.0,eMBB,331
0,DL,RU_69,202.56284206569705,CG,80.0,eMBB,972
0,DL,RU_86,172.25776782519594,CG,80.0,eMBB,1273
0,DL,RU_12,396.45389181844956,CG,80.0,eMBB,831
0,DL,RU_28,302.8939564733001,CG,80.0,eMBB,868
0,DL,RU_58,84.13979794611235,CG,80.0,eMBB,823
0,DL,RU_18,198.9989784081446,CG,80.0,eMBB,606
0,DL,RU_1,462.2325843902549,VS,100.0,eMBB,1583
0,DL,RU_86,870.9714487669636,VS,100.0,eMBB,2102
0,DL,RU_35,107.49295005494146,VS,100.0,eMBB,2347
0,DL,RU_14,218.1766328905365,VS,100.0,eMBB,2718
0,DL,RU_7,487.1515512115596,VS,100.0,eMBB,1623
0,DL,RU_84,940.895954800726,VS,100.0,eMBB,1850
0,DL,RU_61,164.1710509930015,VS,100.0,eMBB,1269
0,DL,RU_8,290.67354293997727,VS,100.0,eMBB,2553
0,UL,RU_9,1147.4211641145794,I4.0,15.0,uRLLC,5
0,DL,RU_79,1147.4211641145794,I4.0,15.0,uRLLC,8
0,UL,RU_92,1593.4580156232919,I4.0,15.0,uRLLC,8
0,DL,RU_74,1593.4580156232919,I4.0,15.0,uRLLC,5
0,UL,RU_33,1452.7096326779129,I4.0,15.0,uRLLC,6
0,DL,RU_20,1452.7096326779129,I4.0,15.0,uRLLC,10
0,DL,RU_4,75.36137409457399,CG,80.0,eMBB,1105
0,DL,RU_20,132.46493022563286,CG,80.0,eMBB,282
0,DL,RU_84,50.09330372212182,CG,80.0,eMBB,1156
0,UL,RU_13,1147.4211641145794,I4.0,15.0,uRLLC,7
0,DL,RU_31,1147.4211641145794,I4.0,15.0,uRLLC,9
0,UL,RU_80,569.7924859165854,I4.0,15.0,uRLLC,10
0,DL,RU_2,569.7924859165854,I4.0,15.0,uRLLC,7
0,UL,RU_8,540.2431420190638,I4.0,15.0,uRLLC,6
0,DL,RU_45,540.2431420190638,I4.0,15.0,uRLLC,7
0,UL,RU_64,569.7924859165854,I4.0,15.0,uRLLC,8
0,DL,RU_43,569.7924859165854,I4.0,15.0,uRLLC,9
0,UL,RU_4,560.8534377410264,I4.0,15.0,uRLLC,6
0,DL,RU_34,560.8534377410264,I4.0,15.0,uRLLC,6
